"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"190","LHT_Lateral Hypothalamic Area, Tuberal Region, Left","datasource",1,1082,1660.244,9.89e-221,"*",0.605,4.09446e-218
"191","LIG_Long Insular Gyri, Left","datasource",1,1082,1644.407,2.27e-219,"*",0.603,9.3978e-217
"192","LIG_Long Insular Gyri, Right","datasource",1,1082,1685.635,6.73e-223,"*",0.609,2.78622e-220
"193","LiG-pest_lingual gyrus, Left, peristriate","datasource",1,1082,1583.144,5.01e-214,"*",0.594,2.07414e-211
"194","LiG-pest_lingual gyrus, Right, peristriate","datasource",1,1082,1734.956,4.74e-227,"*",0.616,1.96236e-224
"195","LiG-str_lingual gyrus, Left, striate","datasource",1,1082,1554.615,1.7e-211,"*",0.59,7.038e-209
"196","LiG-str_lingual gyrus, Right, striate","datasource",1,1082,1604.19,7.09e-216,"*",0.597,2.93526e-213
"197","LM_Lateral Mammillary Nucleus, Left","datasource",1,1082,1501.414,1.05e-206,"*",0.581,4.347e-204
"198","LMRt_lateral medullary reticular group, Left","datasource",1,1082,1995.505,7.59e-248,"*",0.648,3.14226e-245
"199","LMRt_lateral medullary reticular group, Right","datasource",1,1082,2025.928,3.7e-250,"*",0.652,1.5318e-247
"200","LOrG_lateral orbital gyrus, Left","datasource",1,1082,1656.321,2.15e-220,"*",0.605,8.90099999999999e-218
"201","LOrG_lateral orbital gyrus, Right","datasource",1,1082,1739.622,1.93e-227,"*",0.617,7.9902e-225
"202","LPB_lateral parabrachial nucleus, Left","datasource",1,1082,1993.263,1.13e-247,"*",0.648,4.6782e-245
"203","LPB_lateral parabrachial nucleus, Right","datasource",1,1082,2432.982,4.34e-279,"*",0.692,1.79676e-276
"204","LTu_Lateral Tuberal Nucleus, Left","datasource",1,1082,1673.534,7.22e-222,"*",0.607,2.98908e-219
"205","MB_Mammillary Body, Left","datasource",1,1082,1380.408,2e-195,"*",0.561,8.28e-193
"206","MB_Mammillary Body, Right","datasource",1,1082,1490.386,1.07e-205,"*",0.579,4.4298e-203
"207","MBRa_Midbrain Raphe Nuclei","datasource",1,1082,1906.118,6.44e-241,"*",0.638,2.66616e-238
"208","MBRa_Midbrain Raphe Nuclei, Left","datasource",1,1082,1567.35,1.25e-212,"*",0.592,5.175e-210
"209","MBRF_Midbrain Reticular Formation, Left","datasource",1,1082,1977.227,1.91e-246,"*",0.646,7.9074e-244
"210","MBRF_Midbrain Reticular Formation, Right","datasource",1,1082,1783.395,4.65e-231,"*",0.622,1.9251e-228
"211","MFG-i_middle frontal gyrus, Left, inferior bank of gyrus","datasource",1,1082,1690.534,2.58e-223,"*",0.61,1.06812e-220
"212","MFG-i_middle frontal gyrus, Right, inferior bank of gyrus","datasource",1,1082,1821.244,3.83e-234,"*",0.627,1.58562e-231
"213","MFG-s_middle frontal gyrus, Left, superior bank of gyrus","datasource",1,1082,1676.958,3.69e-222,"*",0.608,1.52766e-219
"214","MFG-s_middle frontal gyrus, Right, superior bank of gyrus","datasource",1,1082,1815.547,1.11e-233,"*",0.627,4.5954e-231
"215","MG_Medial Geniculate Complex, Left","datasource",1,1082,1428.915,5.18e-200,"*",0.569,2.14452e-197
"216","MG_Medial Geniculate Complex, Right","datasource",1,1082,1535.25,9.18e-210,"*",0.587,3.80052e-207
"217","MM_Medial mammillary Nucleus, Left","datasource",1,1082,1396.474,5.92e-197,"*",0.563,2.45088e-194
"218","Mo5_motor nucleus of trigeminal nerve, Left","datasource",1,1082,1689.987,2.88e-223,"*",0.61,1.19232e-220
"219","Mo5_motor nucleus of trigeminal nerve, Right","datasource",1,1082,2289.079,2.9e-269,"*",0.679,1.2006e-266
"220","MOrG_medial orbital gyrus, Left","datasource",1,1082,1629.222,4.67e-218,"*",0.601,1.93338e-215
"221","MOrG_medial orbital gyrus, Right","datasource",1,1082,1829.056,8.93e-235,"*",0.628,3.69702e-232
"222","MPB_medial parabrachial nucleus, Left","datasource",1,1082,1848.673,2.36e-236,"*",0.631,9.77039999999999e-234
"223","MPB_medial parabrachial nucleus,Right","datasource",1,1082,2517.633,1.11e-284,"*",0.699,4.5954e-282
"224","MTG-i_middle temporal gyrus, Left, inferior bank of gyrus","datasource",1,1082,1622.446,1.81e-217,"*",0.6,7.4934e-215
"225","MTG-i_middle temporal gyrus, Right, inferior bank of gyrus","datasource",1,1082,1785.832,2.94e-231,"*",0.623,1.21716e-228
"226","MTG-s_middle temporal gyrus, Left, superior bank of gyrus","datasource",1,1082,1629.74,4.22e-218,"*",0.601,1.74708e-215
"227","MTG-s_middle temporal gyrus, Right, superior bank of gyrus","datasource",1,1082,1813.558,1.61e-233,"*",0.626,6.6654e-231
"228","nbM_Basal nucleus, Left","datasource",1,1082,1529.193,3.22e-209,"*",0.586,1.33308e-206
"229","OlfT_Olfactory Tubercle, Left","datasource",1,1082,1528.957,3.38e-209,"*",0.586,1.39932e-206
"230","OPi_occipital pole, Left, inferior aspect","datasource",1,1082,1378.392,3.12e-195,"*",0.56,1.29168e-192
