"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"123","GiRt_gigantocellular group, Left","datasource",1,1137,1906.547,2.36e-245,"*",0.626,9.7704e-243
"124","GiRt_gigantocellular group, Right","datasource",1,1137,1820.714,2.76e-238,"*",0.616,1.14264e-235
"125","Glo_Globose Nucleus, Left","datasource",1,1137,1804.901,5.82e-237,"*",0.614,2.40948e-234
"126","Glo_Globose Nucleus, Right","datasource",1,1137,1975.538,6.86e-251,"*",0.635,2.84004e-248
"127","GPe_globus pallidus, external segment, Left","datasource",1,1137,1771.798,3.63e-234,"*",0.609,1.50282e-231
"128","GPe_globus pallidus, external segment, Right","datasource",1,1137,1899.82,8.32e-245,"*",0.626,3.44448e-242
"129","GPi_globus pallidus, internal segment, Left","datasource",1,1137,1567.673,3.42e-216,"*",0.58,1.41588e-213
"130","GPi_globus pallidus, internal segment, Right","datasource",1,1137,1819.482,3.49e-238,"*",0.615,1.44486e-235
"131","Gr_gracile nucleus, Left","datasource",1,1137,2145.527,5.03e-264,"*",0.654,2.08242e-261
"132","Gr_gracile nucleus, Right","datasource",1,1137,2428.414,1.92e-284,"*",0.681,7.9488e-282
"133","GRe_gyrus rectus, Left","datasource",1,1137,1667.615,3.72e-225,"*",0.595,1.54008e-222
"134","GRe_gyrus rectus, Right","datasource",1,1137,1847.183,1.74e-240,"*",0.619,7.2036e-238
"135","HCd_Head of Caudate Nucleus, Left","datasource",1,1137,1610.391,4.61e-220,"*",0.586,1.90854e-217
"136","HCd_Head of Caudate Nucleus, Right","datasource",1,1137,1813.174,1.18e-237,"*",0.615,4.8852e-235
"137","He-Crus I_Crus I, Left Lateral Hemisphere","datasource",1,1137,1329.124,2.22e-193,"*",0.539,9.1908e-191
"138","He-Crus I_Crus I, Right Lateral Hemisphere","datasource",1,1137,1869.912,2.32e-242,"*",0.622,9.60479999999999e-240
"139","He-Crus II_Crus II, Left Lateral Hemisphere","datasource",1,1137,1336.954,3.66e-194,"*",0.54,1.51524e-191
"140","He-Crus II_Crus II, Right Lateral Hemisphere","datasource",1,1137,1776.744,1.38e-234,"*",0.61,5.7132e-232
"141","He-III_III, Left Lateral Hemisphere","datasource",1,1137,1109.542,2.46e-170,"*",0.494,1.01844e-167
"142","He-IV_IV, Left Lateral Hemisphere","datasource",1,1137,1182.991,2.76e-178,"*",0.51,1.14264e-175
"143","He-IX_IX, Left Lateral Hemisphere","datasource",1,1137,1259.91,2.4e-186,"*",0.526,9.936e-184
"144","He-V_V, Left Lateral Hemisphere","datasource",1,1137,1119.146,2.17e-171,"*",0.496,8.9838e-169
"145","He-VI_VI, Left Lateral Hemisphere","datasource",1,1137,1250.45,2.28e-185,"*",0.524,9.4392e-183
"146","He-VI_VI, Right Lateral Hemisphere","datasource",1,1137,1672.797,1.3e-225,"*",0.595,5.382e-223
"147","He-VIIB_VIIB, Left Lateral Hemisphere","datasource",1,1137,1280.6,1.81e-188,"*",0.53,7.4934e-186
"148","He-VIIB_VIIB, Right Lateral Hemisphere","datasource",1,1137,1848.509,1.35e-240,"*",0.619,5.589e-238
"149","He-VIIIA_VIIIA, Left Lateral Hemisphere","datasource",1,1137,1191.635,3.32e-179,"*",0.512,1.37448e-176
"150","He-VIIIA_VIIIA, Right Lateral Hemisphere","datasource",1,1137,1718.012,1.48e-229,"*",0.602,6.1272e-227
"151","He-VIIIB_VIIIB, Left Lateral Hemisphere","datasource",1,1137,1080.912,3.63e-167,"*",0.487,1.50282e-164
"152","He-X_X, Left Lateral Hemisphere","datasource",1,1137,1145.043,3.28e-174,"*",0.502,1.35792e-171
"153","HG_Heschls gyrus, Left","datasource",1,1137,1695.859,1.24e-227,"*",0.599,5.1336e-225
"154","HG_Heschls gyrus, Right","datasource",1,1137,1891.103,4.27e-244,"*",0.625,1.76778e-241
"155","Hl_Lateral Habenular Nucleus, Left","datasource",1,1137,2269.888,3.28e-273,"*",0.666,1.35792e-270
"156","Hl_Lateral Habenular Nucleus, Right","datasource",1,1137,1501.105,4.91e-210,"*",0.569,2.03274e-207
"157","Hm_Medial Habenular Nucleus, Left","datasource",1,1137,1721.284,7.72e-230,"*",0.602,3.19608e-227
"158","Hm_Medial Habenular Nucleus, Right","datasource",1,1137,1134.856,4.19e-173,"*",0.5,1.73466e-170
"159","IC_Inferior Colliculus, Left","datasource",1,1137,1696.447,1.11e-227,"*",0.599,4.5954e-225
"160","ICjl_interstitial nucleus of Cajal, Left","datasource",1,1137,1870.246,2.18e-242,"*",0.622,9.0252e-240
"161","ICjl_interstitial nucleus of Cajal, Right","datasource",1,1137,2104.228,6.74e-261,"*",0.649,2.79036e-258
"162","ILc_Caudal Group of Intralaminar Nuclei, Left","datasource",1,1137,1825.833,1.03e-238,"*",0.616,4.2642e-236
"163","ILc_Caudal Group of Intralaminar Nuclei, Right","datasource",1,1137,1757.762,5.69e-233,"*",0.607,2.35566e-230
"164","ILr_Rostral Group of intralaminar Nuclei, Left","datasource",1,1137,1585.125,8.83e-218,"*",0.582,3.65562e-215
"165","ILr_Rostral Group of intralaminar Nuclei, Right","datasource",1,1137,1873.319,1.22e-242,"*",0.622,5.0508e-240
"166","IO_inferior olivary complex, Left","datasource",1,1137,1748.66,3.41e-232,"*",0.606,1.41174e-229
"167","IO_inferior olivary complex, Right","datasource",1,1137,2087.262,1.33e-259,"*",0.647,5.5062e-257
"168","IOG-i_inferior occipital gyrus, Left, inferior bank of gyrus","datasource",1,1137,1571.8,1.44e-216,"*",0.58,5.9616e-214
