"","contrast","estimate","SE","df","t.ratio","p.value"
"77","A1C_primary auditory cortex (core) - ITC_inferolateral temporal cortex (area TEv, area 20)",-60.3049999999995,223.107262138639,19120,-0.270295997637791,0.999999999998134
"78","A1C_primary auditory cortex (core) - (V1C_primary visual cortex (striate cortex, area V1/17))",157.117500000001,223.107262138639,19120,0.704224051220564,0.999998041789249
"79","A1C_primary auditory cortex (core) - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",-32.6549999999993,223.107262138639,19120,-0.146364576782388,1
"80","A1C_primary auditory cortex (core) - HIP_hippocampus (hippocampal formation)",-97.6458333333336,223.107262138639,19120,-0.437663177779738,0.999999997627189
"81","A1C_primary auditory cortex (core) - STR_striatum",-4.00916666666649,223.107262138639,19120,-0.0179696825116127,1
"82","A1C_primary auditory cortex (core) - AMY_amygdaloid complex",-163.110833333333,223.107262138639,19120,-0.731087064445156,0.999996742121266
"83","A1C_primary auditory cortex (core) - MD_mediodorsal nucleus of thalamus",-23.8733333333326,223.107262138639,19120,-0.107003837994739,1
"84","A1C_primary auditory cortex (core) - CBC_cerebellar cortex",33.179166666665,223.107262138639,19120,0.148713969902277,1
"85","STC_posterior (caudal) superior temporal cortex (area 22c) - ITC_inferolateral temporal cortex (area TEv, area 20)",-162.223750000001,223.107262138639,19120,-0.727111024737486,0.99999697424376
"86","STC_posterior (caudal) superior temporal cortex (area 22c) - (V1C_primary visual cortex (striate cortex, area V1/17))",55.1987499999997,223.107262138639,19120,0.24740902412087,0.999999999999665
"87","STC_posterior (caudal) superior temporal cortex (area 22c) - MFC_anterior (rostral) cingulate (medial prefrontal) cortex",-134.57375,223.107262138639,19120,-0.603179603882083,0.999999770151647
"88","STC_posterior (caudal) superior temporal cortex (area 22c) - HIP_hippocampus (hippocampal formation)",-199.564583333335,223.107262138639,19120,-0.894478204879432,0.999953071469522
"89","STC_posterior (caudal) superior temporal cortex (area 22c) - STR_striatum",-105.927916666668,223.107262138639,19120,-0.474784709611307,0.999999992322784
"90","STC_posterior (caudal) superior temporal cortex (area 22c) - AMY_amygdaloid complex",-265.029583333334,223.107262138639,19120,-1.18790209154485,0.998514260832089
"91","STC_posterior (caudal) superior temporal cortex (area 22c) - MD_mediodorsal nucleus of thalamus",-125.792083333334,223.107262138639,19120,-0.563818865094434,0.999999911017717
