"","MD Thalamus - R2"
"PIK3R2",0.993228040796768
"RPS6KA1",0.993212948304747
"FXYD6",0.993181072156556
"ADCY1",0.993159712393458
"ZNF398",0.993156655941788
"ACTL6B",0.993111017871892
"RUNDC3B",0.9930978333836
"LPCAT1",0.993053487526867
"DHX57",0.993007557921367
"ZNF84",0.992988589518773
"APEX1",0.992960665657326
"SOBP",0.992951524701123
"VEZT",0.992943574290516
"FCHSD2",0.992932883144948
"RRM1",0.992899071952752
"KDM4B",0.992883279723907
"SLC25A11",0.992863891374741
"DCBLD1",0.992836635446864
"DZIP1",0.992814736234975
"GSK3B",0.992780881194082
"FJX1",0.992771078275912
"EPHA3",0.992765362245474
"C17orf70",0.992724393146425
"PVRL3",0.992705750923081
"TMTC4",0.992681108718148
"TMEM176A",0.992659492170719
"PMP2",0.992652511679564
"CTNNB1",0.992628088225076
"FIG4",0.992602172484661
"CD34",0.992591641069622
"KLHL23",0.992573294362749
"AP1S2",0.99256387091607
"PTPRM",0.992533548879068
"HNRNPR",0.99250472665462
"C16orf13",0.992428738993397
"SUPT16H",0.99238121345988
"MARCH9",0.992377338725906
"IDH1",0.992342210537949
"NCOA2",0.992333657102273
"HNRNPU",0.992303283097493
"RCOR1",0.992291743440076
"NEBL",0.99225065972785
"PABPC1",0.992239465535453
"ATP2A3",0.992199532276021
"RSBN1L",0.992175296472879
"FAM115A",0.992168908650349
"FAT3",0.992133473361598
"TMEM155",0.992048187751682
"PIK3R3",0.992034245375427
"SLC20A2",0.992019663215482
"PDCL",0.991882872874597
"TMEM169",0.991798565769315
"PTBP3",0.991784370935568
"PAK6",0.991775672155898
"LAMP1",0.991756200113049
"CAMK2A",0.991749535018196
"KDM1B",0.991747806143832
"SNCG",0.991697512741389
"HDAC2",0.991691371206196
"SLC30A4",0.991671005527014
"PSMG4",0.991641982301904
"VAT1",0.991607497750676
"NEDD4L",0.99160083592165
"IKBKAP",0.991499219484438
"CD151",0.991461923544386
"EIF4G2",0.99145504862063
"HMGB3",0.991439211741411
"LIMS2",0.991310812958405
"CTNNBIP1",0.991300888136625
"MFAP3",0.991293253201629
"AGPS",0.991282773767891
"PMVK",0.991245499527236
"GJC2",0.991211671760208
"H2AFY",0.99120449434404
"SMOC2",0.991157913841144
"IGFBP4",0.99113246274167
"PARN",0.991108074633079
"PGM2L1",0.991106410113403
"SMG1",0.991098869893378
"RAB7L1",0.991067157162708
"ZNF197",0.991061006651263
"PABPC3",0.991037705532714
"BTAF1",0.990978089305443
"MYT1L",0.990919023000822
"RBM15B",0.990888573556625
"MARCKS",0.990877576465028
"WDR82",0.990856234742616
"CDK5R1",0.990851643623654
"TNPO1",0.990824327681417
